shop	courier	orderid	tracking	status	last_update
homeone	speedex	'64445	'700006543031	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	28/01/2021, 09:51:00
homeone	speedex	'64319	'700006534565	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 13:18:00
homeone	speedex	'64096	'700006518159	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 05:32:00
homeone	speedex	'63950	'700006514056	ΑΠΩΝ	28/01/2021, 11:52:00
homeone	speedex	'63898	'700006513320	ΑΠΩΝ	28/01/2021, 11:00:00
homeone	speedex	'63890	'700006513240	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	23/01/2021, 12:31:00
homeone	speedex	'63882	'700006513148	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	26/01/2021, 14:45:00
homeone	speedex	'63864	'700006512963	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	28/01/2021, 10:02:00
homeone	speedex	'63852	'700006512814	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 14:39:00
homeone	speedex	'63740	'700006504430	ΑΓΝΩΣΤΟΣ ΠΑΡΑΛΗΠΤΗΣ	28/01/2021, 11:30:00
homeone	speedex	'63673	'700006504594	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 14:14:00
homeone	speedex	'63717	'700006504766	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'63724	'700006504581	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	25/01/2021, 20:16:00
homeone	speedex	'63371	'700006490270	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	28/01/2021, 09:51:00
homeone	speedex	'63226	'700006482032	ΑΠΩΝ	28/01/2021, 13:54:00
homeone	speedex	'63240	'700006489514	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 13:17:00
homeone	speedex	'62938	'700006461046	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 05:32:00
homeone	speedex	'62817	'700006448795	ΑΠΩΝ	28/01/2021, 14:02:00
homeone	speedex	'62856	'700006449347	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	26/01/2021, 15:24:00
homeone	speedex	'62852	'700006449308	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 08:36:00
homeone	speedex	'62791	'700006448523	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'62680	'700006447144	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	27/01/2021, 07:50:00
homeone	speedex	'62489	'700006436066	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'62153	'700006433278	ΑΠΩΝ	27/01/2021, 15:43:00
homeone	speedex	'62139	'700006432783	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	26/01/2021, 08:07:00
homeone	speedex	'62113	'700006431954	ΑΓΝΩΣΤΟΣ ΠΑΡΑΛΗΠΤΗΣ	27/01/2021, 14:26:00
homeone	speedex	'62043	'700006429588	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	27/01/2021, 13:19:00
homeone	speedex	'61943	'700006426807	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	26/01/2021, 08:11:00
homeone	speedex	'61927	'700006426166	ΑΠΩΝ	27/01/2021, 11:01:00
homeone	speedex	'61897	'700006424896	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	23/01/2021, 05:42:00
homeone	speedex	'61884	'700006517371	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	25/01/2021, 19:43:00
homeone	speedex	'61826	'700006420125	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	27/01/2021, 21:23:00
homeone	speedex	'61741	'700006415883	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	22/01/2021, 13:19:00
homeone	speedex	'61712	'700006415289	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 05:32:00
homeone	speedex	'61736	'700006415810	ΑΠΩΝ	28/01/2021, 11:43:00
homeone	speedex	'61515	'700006408575	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'61202	'700006369699	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 05:32:00
homeone	speedex	'61092	'700006364300	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	22/01/2021, 09:37:00
homeone	speedex	'60873	'700006363208	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 05:32:00
homeone	speedex	'60856	'700006362968	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	20/01/2021, 13:16:00
homeone	speedex	'60763	'700006360498	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	28/01/2021, 13:22:00
homeone	speedex	'60821	'700006362007	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'60259	'700006458312	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	23/01/2021, 11:24:00
homeone	speedex	'60293	'700006334391	Η ΑΠΟΣΤΟΛΗ ΠΑΡΑΜΕΝΕΙ ΣΤΟ ΣΤΑΘΜΟ	27/01/2021, 13:21:00
homeone	speedex	'60053	'700006332475	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 13:17:00
homeone	speedex	'60001	'700006326656	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 05:32:00
homeone	speedex	'59985	'700006331877	ΑΓΝΩΣΤΟΣ ΠΑΡΑΛΗΠΤΗΣ	27/01/2021, 18:23:00
homeone	speedex	'60607	'700006356720	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	26/01/2021, 15:37:00
homeone	speedex	'59950	'700006331546	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'59942	'700006331444	ΑΠΩΝ	28/01/2021, 14:38:00
homeone	speedex	'59883	'700006331100	ΑΠΩΝ	26/01/2021, 11:15:00
homeone	speedex	'59928	'700006325132	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	27/01/2021, 20:47:00
homeone	speedex	'59859	'700006330928	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 13:17:00
homeone	speedex	'59772	'700006468481	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	25/01/2021, 08:36:00
homeone	speedex	'59780	'700006330324	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	27/01/2021, 21:23:00
homeone	speedex	'59524	'700006300746	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'59516	'700006300439	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	28/01/2021, 10:21:00
homeone	speedex	'59374	'700006298778	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 09:58:00
homeone	speedex	'59406	'700006298884	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	18/01/2021, 05:32:00
homeone	speedex	'59216	'700006294603	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 13:17:00
homeone	speedex	'59167	'700006293176	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 13:18:00
homeone	speedex	'59085	'700006332712	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 05:32:00
homeone	speedex	'59025	'700006287008	Η ΑΠΟΣΤΟΛΗ ΠΑΡΑΜΕΝΕΙ ΣΤΟ ΣΤΑΘΜΟ	26/01/2021, 13:27:00
homeone	speedex	'58968	'700006282692	ΑΠΩΝ	27/01/2021, 18:19:00
homeone	speedex	'58909	'700006279189	ΑΠΩΝ	21/01/2021, 19:01:00
homeone	speedex	'58664	'700006250939	Η ΑΠΟΣΤΟΛΗ ΠΑΡΑΜΕΝΕΙ ΣΤΟ ΣΤΑΘΜΟ	28/01/2021, 13:31:00
homeone	speedex	'58571	'700006242392	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	22/01/2021, 08:13:00
homeone	speedex	'58418	'700006240497	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	23/01/2021, 05:34:00
homeone	speedex	'58359	'700006236599	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	23/01/2021, 13:15:00
homeone	speedex	'57779	'700006380648	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	27/01/2021, 20:27:00
homeone	speedex	'57379	'700006218544	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 13:18:00
homeone	speedex	'57502	'700006218967	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	18/01/2021, 05:32:00
homeone	speedex	'57287	'700006216670	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	23/01/2021, 13:15:00
homeone	speedex	'57268	'700006216311	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	22/01/2021, 05:32:00
homeone	speedex	'57291	'700006216859	ΑΠΩΝ	27/01/2021, 22:09:00
homeone	speedex	'57239	'700006215580	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	21/01/2021, 13:16:00
homeone	speedex	'57171	'700006213733	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	22/01/2021, 17:26:00
homeone	speedex	'57146	'700006213133	ΑΠΩΝ	20/01/2021, 16:14:00
homeone	speedex	'57071	'700006210904	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	22/01/2021, 14:13:00
homeone	speedex	'56879	'700006199888	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'56837	'700006198112	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	27/01/2021, 05:32:00
homeone	speedex	'56845	'700006198219	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	28/01/2021, 05:32:00
homeone	speedex	'56711	'700006193356	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	28/01/2021, 13:22:00
homeone	speedex	'56565	'700006186581	ΑΠΩΝ	27/01/2021, 07:45:00
homeone	speedex	'56399	'700006179002	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 08:47:00
homeone	speedex	'56241	'700006204030	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	28/01/2021, 09:47:00
homeone	speedex	'56169	'700006145369	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	21/01/2021, 10:49:00
homeone	speedex	'56614	'700006189599	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	24/01/2021, 05:33:00
homeone	speedex	'55820	'700006138645	Η ΑΠΟΣΤΟΛΗ ΠΑΡΑΜΕΝΕΙ ΣΤΟ ΣΤΑΘΜΟ	27/01/2021, 12:33:00
homeone	speedex	'55796	'700006137493	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	13/01/2021, 05:32:00
homeone	speedex	'56829	'700006197979	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	25/01/2021, 22:23:00
homeone	speedex	'56498	'700006184091	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	25/01/2021, 08:37:00
kidstoys	speedex	'103762	'700006480328	ΑΠΩΝ	25/01/2021, 14:39:00
kidstoys	speedex	'103493	'700006402909	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	26/01/2021, 05:32:00
kidstoys	speedex	'103324	'700006315245	Η ΑΠΟΣΤΟΛΗ ΠΑΡΑΜΕΝΕΙ ΣΤΟ ΣΤΑΘΜΟ	26/01/2021, 17:42:00
kidstoys	speedex	'103247	'700006307372	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	22/01/2021, 17:31:00
kidstoys	speedex	'102968	'700006279065	ΠΑΡΑΛΑΒΗ ΑΠΟ ΣΤΑΘΜΟ - ΕΝΤΟΛΗ ΠΕΛΑΤΗ	25/01/2021, 12:30:00
